disease_name,symptoms,source,symptoms,processed_symptoms,named_entities
marfan syndrome,"Signs and symptoms may happen right away or develop as you get older: Taller than average height, long arms, fingers, legs, and toes, and a long face Scoliosis (curved spine), flat feet, or breastbone curved inward or outward Eye problems, such as glaucoma, cataracts, or vision problems from a lens that moved out of place Stretch marks on your skin High and arched palate (roof of your mouth), and crowded teeth Back or leg pain, or headaches Chest pain or an irregular heartbeat from weakened heart valves",drugs-com,"signs and symptoms may happen right away or develop as you get older: taller than average height, long arms, fingers, legs, and toes, and a long face scoliosis (curved spine), flat feet, or breastbone curved inward or outward eye problems, such as glaucoma, cataracts, or vision problems from a lens that moved out of place stretch marks on your skin high and arched palate (roof of your mouth), and crowded teeth back or leg pain, or headaches chest pain or an irregular heartbeat from weakened heart valves",sign symptom happen right away develop old tall average height long arm finger leg toe long face scoliosis curve spine flat foot breastbone curved inward outward eye problem glaucoma cataract vision problem lens move place stretch mark skin high arched palate roof mouth crowded tooth leg pain headache chest pain irregular heartbeat weaken heart valve,"['signs', 'symptoms', 'older', 'taller', 'average height', 'long arms', 'fingers', 'legs', 'toes', 'long face scoliosis', 'curved spine', 'flat feet', 'breastbone curved inward', 'outward eye problems', 'glaucoma', 'cataracts', 'vision problems', 'lens', 'stretch marks', 'skin', 'arched palate', 'roof', 'mouth', 'crowded teeth', 'leg pain', 'headaches chest pain', 'irregular', 'heartbeat', 'heart valves']"
marfan syndrome in children,"Signs and symptoms may happen right away or develop as your child gets older: Taller than average height, long arms, fingers, legs, and toes, and a long face Scoliosis (curved spine), flat feet, or breastbone curved inward or outward Eye problems, such as glaucoma, cataracts, or vision problems from a lens that moved out of place Stretch marks on the skin High and arched palate (roof of the mouth), and crowded teeth Back or leg pain, or headaches Chest pain or an irregular heartbeat from weakened heart valves",drugs-com,"signs and symptoms may happen right away or develop as your child gets older: taller than average height, long arms, fingers, legs, and toes, and a long face scoliosis (curved spine), flat feet, or breastbone curved inward or outward eye problems, such as glaucoma, cataracts, or vision problems from a lens that moved out of place stretch marks on the skin high and arched palate (roof of the mouth), and crowded teeth back or leg pain, or headaches chest pain or an irregular heartbeat from weakened heart valves",sign symptom happen right away develop child get old tall average height long arm finger leg toe long face scoliosis curve spine flat foot breastbone curved inward outward eye problem glaucoma cataract vision problem lens move place stretch mark skin high arched palate roof mouth crowded tooth leg pain headache chest pain irregular heartbeat weaken heart valve,"['signs', 'symptoms', 'child', 'older', 'taller', 'average height', 'long arms', 'fingers', 'legs', 'toes', 'long face scoliosis', 'curved spine', 'flat feet', 'breastbone curved inward', 'outward eye problems', 'glaucoma', 'cataracts', 'vision problems', 'lens', 'stretch marks', 'skin high', 'arched palate', 'roof', 'mouth', 'crowded teeth', 'leg pain', 'headaches chest pain', 'irregular', 'heartbeat', 'heart valves']"
marine animal bite or sting,"Bleeding, torn skin, or large areas of skin bitten off Throbbing pain or trouble moving the bitten area Broken bones Redness, tenderness, or warmth around the wound, or pus coming from the wound Fever",drugs-com,"bleeding, torn skin, or large areas of skin bitten off throbbing pain or trouble moving the bitten area broken bones redness, tenderness, or warmth around the wound, or pus coming from the wound fever",bleeding tear skin large area skin bite throb pain trouble move bite area break bone redness tenderness warmth wound pus come wound fever,"['torn skin', 'skin bitten', 'off throbbing pain', 'moving', 'bitten', 'bones redness', 'tenderness', 'warmth', 'wound', 'pus', 'wound fever']"
mastitis,"Chills and fever Breast swelling, redness, warmth, and tenderness Tenderness under your arm Fatigue and body aches",drugs-com,"chills and fever breast swelling, redness, warmth, and tenderness tenderness under your arm fatigue and body aches",chill fever breast swelling redness warmth tenderness tenderness arm fatigue body ache,"['fever breast swelling', 'redness', 'warmth', 'tenderness', 'tenderness', 'fatigue', 'body aches']"
mastoiditis,"Pain, redness, swelling, or tenderness behind or inside your ear Thick drainage from your ear Headache Fever Fatigue or feeling irritable Vomiting or loss of appetite Hearing loss",drugs-com,"pain, redness, swelling, or tenderness behind or inside your ear thick drainage from your ear headache fever fatigue or feeling irritable vomiting or loss of appetite hearing loss",pain redness swelling tenderness inside ear thick drainage ear headache fever fatigue feel irritable vomiting loss appetite hear loss,"['pain', 'redness', 'swelling', 'tenderness', 'inside', 'ear thick', 'drainage', 'ear headache fever', 'fatigue', 'irritable vomiting', 'loss of appetite hearing loss']"
mastoiditis in children,"Pain, redness, swelling, or tenderness behind or inside your child's ear Thick drainage from your child's ear An ear that sticks out from your child's head Headache Fever Fatigue or fussiness Vomiting or loss of appetite (small children) Hearing loss",drugs-com,"pain, redness, swelling, or tenderness behind or inside your child's ear thick drainage from your child's ear an ear that sticks out from your child's head headache fever fatigue or fussiness vomiting or loss of appetite (small children) hearing loss",pain redness swelling tenderness inside child ear thick drainage child ear ear stick child head headache fever fatigue fussiness vomiting loss appetite small child hear loss,"['pain', 'redness', 'swelling', 'tenderness', 'inside', ""child's"", 'ear thick', 'drainage', ""child's"", 'ear', 'ear', 'sticks', ""child's"", 'head headache fever', 'fatigue', 'fussiness vomiting', 'loss of appetite', 'small children', 'hearing loss']"
math anxiety in children,"Physical problems such as shortness of breath or stomach pain when thinking about or doing math Feeling tired or cranky when he or she does math homework, or not wanting to fix errors Missing class or arriving late, not paying attention in math class, or being disruptive Not being able to answer questions in class or solve problems on the board Not finishing homework, or not turning in finished homework Doing math homework correctly but failing tests Asking to leave the room every time he or she is about to work in a group or do a problem on the board Turning pale or red, shaking, or breathing faster when he or she is called on in class or before a timed test",drugs-com,"physical problems such as shortness of breath or stomach pain when thinking about or doing math feeling tired or cranky when he or she does math homework, or not wanting to fix errors missing class or arriving late, not paying attention in math class, or being disruptive not being able to answer questions in class or solve problems on the board not finishing homework, or not turning in finished homework doing math homework correctly but failing tests asking to leave the room every time he or she is about to work in a group or do a problem on the board turning pale or red, shaking, or breathing faster when he or she is called on in class or before a timed test",physical problem shortness breath stomach pain think math feel tired cranky math homework want fix error miss class arrive late pay attention math class disruptive able answer question class solve problem board finish homework turn finished homework math homework correctly fail test ask leave room time work group problem board turn pale red shake breathing fast call class timed test,"['physical problems', 'shortness of breath', 'stomach pain', 'thinking', 'math', 'tired', 'math homework', 'errors', 'missing class', 'late', 'math class', 'disruptive not', 'class', 'solve problems', 'board', 'homework', 'homework', 'math', 'homework', 'tests', 'room', 'time', 'group', 'problem', 'board turning pale', 'red', 'shaking', 'breathing faster', 'class', 'timed test']"
measles in adults,"You may develop a rash about 10 to 14 days after you are exposed to the virus. The rash usually begins on the face and head and then spreads down to the legs and feet. It may first appear as tiny spots that later join to make large patchy bumps. The rash usually disappears in 5 to 8 days. Your skin may peel afterward. You may also have any of the following: A high fever that starts when the rash appears A cough, runny nose, sore throat, and muscle aches Red, irritated eyes that are watery and sensitive to light Small white spots that appear in 2 to 3 days inside your mouth, usually on the cheeks Abdominal pain, vomiting, or diarrhea",drugs-com,"you may develop a rash about 10 to 14 days after you are exposed to the virus. the rash usually begins on the face and head and then spreads down to the legs and feet. it may first appear as tiny spots that later join to make large patchy bumps. the rash usually disappears in 5 to 8 days. your skin may peel afterward. you may also have any of the following: a high fever that starts when the rash appears a cough, runny nose, sore throat, and muscle aches red, irritated eyes that are watery and sensitive to light small white spots that appear in 2 to 3 days inside your mouth, usually on the cheeks abdominal pain, vomiting, or diarrhea",develop rash 10 14 day expose virus rash usually begin face head spread leg foot appear tiny spot later join large patchy bump rash usually disappear 5 8 day skin peel afterward following high fever start rash appear cough runny nose sore throat muscle ache red irritated eye watery sensitive light small white spot appear 2 3 day inside mouth usually cheek abdominal pain vomiting diarrhea,"['rash', 'days', 'exposed', 'virus', 'rash', 'face', 'head', 'spreads down', 'legs', 'feet', 'spots', 'patchy bumps', 'rash', 'days', 'skin', 'peel', 'fever', 'rash', 'cough', 'runny nose', 'sore throat', 'muscle aches red', 'irritated eyes', 'watery', 'sensitive', 'days', 'mouth', 'cheeks abdominal pain', 'vomiting', 'diarrhea']"
measles in children,"Your child may develop a rash about 2 to 3 days after he or she starts to feel sick. The measles rash usually begins on the face and head and then spreads down to the legs and feet. It may first appear as tiny spots that later join to make large patchy bumps. The rash usually disappears in 5 to 8 days, and may cause the skin to peel. Your child may also have any of the following: A fever, cough, runny nose, sore throat, and muscle aches Red, irritated eyes that are sensitive to light Small white spots that appear inside his or her mouth, usually on the cheeks Abdominal pain, vomiting, or diarrhea",drugs-com,"your child may develop a rash about 2 to 3 days after he or she starts to feel sick. the measles rash usually begins on the face and head and then spreads down to the legs and feet. it may first appear as tiny spots that later join to make large patchy bumps. the rash usually disappears in 5 to 8 days, and may cause the skin to peel. your child may also have any of the following: a fever, cough, runny nose, sore throat, and muscle aches red, irritated eyes that are sensitive to light small white spots that appear inside his or her mouth, usually on the cheeks abdominal pain, vomiting, or diarrhea",child develop rash 2 3 day start feel sick measle rash usually begin face head spread leg foot appear tiny spot later join large patchy bump rash usually disappear 5 8 day cause skin peel child following fever cough runny nose sore throat muscle ache red irritated eye sensitive light small white spot appear inside mouth usually cheek abdominal pain vomiting diarrhea,"['child', 'rash', 'days', 'sick', 'measles rash', 'face', 'head', 'spreads down', 'legs', 'feet', 'spots', 'patchy bumps', 'rash', 'days', 'skin', 'peel', 'child', 'fever', 'cough', 'runny nose', 'sore throat', 'muscle aches red', 'irritated eyes', 'sensitive', 'inside', 'mouth', 'cheeks abdominal pain', 'vomiting', 'diarrhea']"
meconium aspiration syndrome,"Meconium or green streaks in the amniotic fluid Skin that is blue from lack of oxygen, or green from being stained by meconium Grunting, trouble breathing, fast breathing, or no breathing Slow heartbeat Limpness, or a low Apgar score (used to rate a newborn's health)",drugs-com,"meconium or green streaks in the amniotic fluid skin that is blue from lack of oxygen, or green from being stained by meconium grunting, trouble breathing, fast breathing, or no breathing slow heartbeat limpness, or a low apgar score (used to rate a newborn's health)",meconium green streak amniotic fluid skin blue lack oxygen green stain meconium grunt trouble breathing fast breathing breathing slow heartbeat limpness low apgar score rate newborn health,"['meconium', 'green streaks', 'amniotic fluid', 'skin', 'blue', 'lack', 'green', 'stained', 'meconium grunting', 'trouble breathing', 'fast breathing', 'limpness', 'low apgar score', 'rate', ""newborn's"", 'health']"
melanoma,"Melanoma is described based on the ABCDE system: A symmetry means if a line is drawn through the middle of the mole, the 2 halves are not equal. B order means the edges of the mole are not smooth. C olors include blue, black, brown, or red. D iameter means the size of the mole is larger than a pencil eraser. E volution means the mole changes. This may include changes in appearance, changes in symptoms, such as bleeding, or changes in shape, size, or color. The area may also itch or feel hard, lumpy, swollen, or tender.",drugs-com,"melanoma is described based on the abcde system: a symmetry means if a line is drawn through the middle of the mole, the 2 halves are not equal. b order means the edges of the mole are not smooth. c olors include blue, black, brown, or red. d iameter means the size of the mole is larger than a pencil eraser. e volution means the mole changes. this may include changes in appearance, changes in symptoms, such as bleeding, or changes in shape, size, or color. the area may also itch or feel hard, lumpy, swollen, or tender.",melanoma describe base abcde system symmetry mean line draw middle mole 2 half equal b order mean edge mole smooth c olor include blue black brown red d iameter mean size mole large pencil eraser e volution mean mole change include change appearance change symptom bleeding change shape size color area itch feel hard lumpy swollen tender,"['melanoma', 'abcde system', 'symmetry', 'means', 'mole', 'halves', 'edges', 'mole', 'smooth', 'olors', 'blue', 'black', 'brown', 'red', 'iameter means', 'size', 'mole', 'pencil', 'eraser', 'volution', 'mole', 'changes', 'changes', 'appearance', 'changes', 'symptoms', 'bleeding', 'changes', 'shape', 'size', 'color', 'area', 'itch', 'feel hard', 'lumpy', 'swollen', 'tender']"
memory loss in older adults,"Not remembering where you put your keys or glasses Trouble recalling a familiar person's name, but then remembering it Trouble remembering why you walked into a room Missing an appointment because you forgot about it Forgetting someone's birthday or an anniversary",drugs-com,"not remembering where you put your keys or glasses trouble recalling a familiar person's name, but then remembering it trouble remembering why you walked into a room missing an appointment because you forgot about it forgetting someone's birthday or an anniversary",remembering key glass trouble recall familiar person remember trouble remember walk room miss appointment forget forget birthday anniversary,"['keys', 'glasses', 'familiar', ""person's"", 'remembering', 'room', 'missing', 'appointment', ""someone's birthday"", 'anniversary']"
meniere disease,"Signs and symptoms may last from minutes to a few days: A feeling that your ears are plugged, full, or have too much pressure Hearing loss in one or both ears Ringing, roaring, or buzzing in one or both ears At least 2 episodes of vertigo (feeling that everything around you is moving, swirling, or spinning) that last longer than 20 minutes Nausea, vomiting, and sweating",drugs-com,"signs and symptoms may last from minutes to a few days: a feeling that your ears are plugged, full, or have too much pressure hearing loss in one or both ears ringing, roaring, or buzzing in one or both ears at least 2 episodes of vertigo (feeling that everything around you is moving, swirling, or spinning) that last longer than 20 minutes nausea, vomiting, and sweating",sign symptom minute day feeling ear plug pressure hear loss ear ring roar buzz ear 2 episode vertigo feel move swirl spinning long 20 minute nausea vomiting sweating,"['signs', 'symptoms', 'minutes', 'days', 'ears', 'plugged', 'pressure', 'hearing loss', 'ears ringing', 'roaring', 'buzzing', 'ears', 'episodes', 'vertigo', 'moving', 'swirling', 'spinning', 'minutes', 'nausea', 'vomiting', 'sweating']"
meningioma,"Signs and symptoms depend on the size and location of the tumor. You may have no symptoms, or you may have any of the following: Headaches, especially right after you wake up Nausea and vomiting Weakness or inability to move a limb Personality or behavior changes Memory loss Trouble speaking or changes in vision Seizures",drugs-com,"signs and symptoms depend on the size and location of the tumor. you may have no symptoms, or you may have any of the following: headaches, especially right after you wake up nausea and vomiting weakness or inability to move a limb personality or behavior changes memory loss trouble speaking or changes in vision seizures",sign symptom depend size location tumor symptom following headache especially right wake nausea vomiting weakness inability limb personality behavior change memory loss trouble speak change vision seizure,"['signs', 'symptoms', 'size', 'location', 'tumor', 'no symptoms', 'headaches', 'nausea', 'vomiting weakness', 'limb', 'personality', 'behavior', 'changes', 'memory loss', 'changes', 'vision seizures']"
meniscus tear,"A pop or tear when the injury happens Pain and swelling Tenderness Stiffness Popping, catching, or locking of your knee Not being able to extend your knee fully",drugs-com,"a pop or tear when the injury happens pain and swelling tenderness stiffness popping, catching, or locking of your knee not being able to extend your knee fully",pop tear injury happen pain swelling tenderness stiffness popping catch locking knee able extend knee fully,"['pop', 'tear', 'injury', 'pain', 'swelling tenderness', 'stiffness', 'popping', 'catching', 'locking', 'knee', 'knee']"
menopause,"Irregular menstrual cycles with heavy vaginal bleeding followed by decreased bleeding until it stops Hot flashes (feeling warm, flushed, and sweaty) Vaginal changes such as increased dryness Mood changes such as anxiety, depression, or decreased desire to have sex Trouble sleeping, joint pain, headaches Brittle nails, hair on chin or chest where it is normally absent Decrease in breast size and change in skin texture Weight gain",drugs-com,"irregular menstrual cycles with heavy vaginal bleeding followed by decreased bleeding until it stops hot flashes (feeling warm, flushed, and sweaty) vaginal changes such as increased dryness mood changes such as anxiety, depression, or decreased desire to have sex trouble sleeping, joint pain, headaches brittle nails, hair on chin or chest where it is normally absent decrease in breast size and change in skin texture weight gain",irregular menstrual cycle heavy vaginal bleeding follow decrease bleeding stop hot flash feel warm flush sweaty vaginal change increase dryness mood change anxiety depression decrease desire sex trouble sleep joint pain headache brittle nail hair chin chest normally absent decrease breast size change skin texture weight gain,"['irregular', 'menstrual cycles', 'heavy vaginal bleeding', 'decreased', 'bleeding', 'hot flashes', 'feeling warm', 'flushed', 'sweaty)', 'vaginal changes', 'increased', 'mood changes', 'anxiety', 'depression', 'decreased', 'desire', 'sex', 'joint pain', 'headaches brittle nails', 'hair', 'chin', 'chest', 'decrease', 'breast size', 'change', 'skin texture']"
menorrhagia,Soaking a pad or tampon every 1 to 2 hours Using both a pad and a tampon Waking up at night to change your pad or tampon Blood clots with your bleeding for more than 1 day Abdominal pain or cramps,drugs-com,soaking a pad or tampon every 1 to 2 hours using both a pad and a tampon waking up at night to change your pad or tampon blood clots with your bleeding for more than 1 day abdominal pain or cramps,soak pad tampon 1 2 hour pad tampon wake night change pad tampon blood clot bleeding 1 day abdominal pain cramp,"['soaking', 'pad', 'tampon', 'pad', 'tampon waking', 'night', 'change', 'pad', 'tampon blood clots', 'bleeding', 'day', 'abdominal pain', 'cramps']"
mers (middle east respiratory syndrome),"Signs and symptoms range from mild to severe. Any of the following may appear 2 to 14 days after you have been exposed to the MERS virus: Fever or chills Cough Muscle aches Nausea, vomiting, or diarrhea Shortness of breath",drugs-com,"signs and symptoms range from mild to severe. any of the following may appear 2 to 14 days after you have been exposed to the mers virus: fever or chills cough muscle aches nausea, vomiting, or diarrhea shortness of breath",sign symptom range mild severe following appear 2 14 day expose mer virus fever chill cough muscle ache nausea vomiting diarrhea shortness breath,"['signs', 'symptoms', 'mild', 'severe', 'days', 'mers virus', 'fever', 'chills cough muscle aches', 'vomiting', 'diarrhea']"
mesenteric adenitis,"Nausea, vomiting, or diarrhea Pain in the abdomen, especially the lower right side Fatigue and discomfort Fever Loss of appetite",drugs-com,"nausea, vomiting, or diarrhea pain in the abdomen, especially the lower right side fatigue and discomfort fever loss of appetite",nausea vomiting diarrhea pain abdoman especially low right fatigue discomfort fever loss appetite,"['nausea', 'vomiting', 'diarrhea pain', 'abdomen', 'lower right', 'side fatigue', 'discomfort fever loss of appetite']"
metabolic acidosis,"Uncontrolled, deep breathing Nausea and vomiting Weakness or confusion Not able to be woken easily",drugs-com,"uncontrolled, deep breathing nausea and vomiting weakness or confusion not able to be woken easily",uncontrolled deep breathing nausea vomiting weakness confusion able wake easily,"['uncontrolled', 'deep breathing', 'vomiting weakness', 'confusion']"
metabolic alkalosis,"Slow breathing Fast or irregular heartbeats, dizziness, or lightheadedness Blue skin or nails Confusion or feeling irritable Muscle cramps or spasms Trouble breathing",drugs-com,"slow breathing fast or irregular heartbeats, dizziness, or lightheadedness blue skin or nails confusion or feeling irritable muscle cramps or spasms trouble breathing",slow breathing fast irregular heartbeat dizziness lightheadedness blue skin nail confusion feel irritable muscle cramp spasm trouble breathing,"['slow breathing fast', 'irregular', 'heartbeats', 'dizziness', 'lightheadedness blue skin', 'nails', 'confusion', 'irritable muscle cramps', 'spasms']"
metabolic syndrome x,"Most people with metabolic syndrome do not have any signs or symptoms. You may have more thirst or hunger than usual, urinate more often, or have blurred vision or headaches.",drugs-com,"most people with metabolic syndrome do not have any signs or symptoms. you may have more thirst or hunger than usual, urinate more often, or have blurred vision or headaches.",people metabolic syndrome sign symptom thirst hunger usual urinate blur vision headache,"['people', 'metabolic syndrome', 'signs', 'symptoms', 'thirst', 'hunger', 'usual', 'urinate', 'blurred vision', 'headaches']"
metatarsalgia,"Symptoms usually develop over time, but you may have sudden pain from an injury. You may have any of the following: Pain at the ball of your foot or near your toes that gets worse when you walk or stand, especially on hard surfaces Pain during exercises such as running Sharp or shooting pain in your toes that may get worse when you flex your toes Tingling or numbness in your toes Feeling like you are walking over rocks, or that you have a bruise on your toe A change in the way you walk because you try to avoid putting pressure on the ball of your foot",drugs-com,"symptoms usually develop over time, but you may have sudden pain from an injury. you may have any of the following: pain at the ball of your foot or near your toes that gets worse when you walk or stand, especially on hard surfaces pain during exercises such as running sharp or shooting pain in your toes that may get worse when you flex your toes tingling or numbness in your toes feeling like you are walking over rocks, or that you have a bruise on your toe a change in the way you walk because you try to avoid putting pressure on the ball of your foot",symptom usually develop time sudden pain injury following pain ball foot near toe get bad walk stand especially hard surface pain exercise run sharp shoot pain toe bad flex toe tingle numbness toe feel like walk rock bruise toe change way walk try avoid put pressure ball foot,"['symptoms', 'time', 'sudden pain', 'injury', 'pain', 'ball', 'foot', 'toes', 'worse', 'walk', 'stand', 'surfaces pain', 'exercises', 'running sharp', 'shooting pain', 'toes', 'worse', 'flex', 'toes tingling', 'numbness', 'toes', 'walking', 'rocks', 'bruise', 'walk', 'pressure', 'ball', 'foot']"
methamphetamine use disorder,"Signs and symptoms include at least 2 of the following in a 12-month period: You have a strong urge or craving for meth. This is also called addiction. You are not able to control when you use it or how much you use. You spend large amounts of time trying to get, use, or recover from meth. In between uses, you think about when you will get to use it again. You become tolerant to meth. This means the amount you have been using no longer has the effects you want. You need higher amounts to feel the effects. You become dependent on meth. Dependence means your body becomes used to meth. You have withdrawal symptoms when you do not use meth for a short amount of time. You have to use it to stop or prevent withdrawal symptoms, such as shaky hands. You are not able to stop, or to use less. You start again when you try to quit. You try to use lower amounts or to use it less often, but you are not able. You continue to use meth even though it causes problems or is dangerous. For example, try to make the effect stronger by mixing it with alcohol or other drugs. You have problems at school, work, or home. You spend less time doing important or enjoyable activities. You may become violent or impulsive (acting without thinking about the risks). Meth use can also lead to health problems, such as the following:
Heart weakness or damage can develop because meth increases blood pressure and heart rate.
Skin problems may develop if you start picking at your skin or do not care for needle marks. Skin picking causes sores to grow, and the sores can get infected. Meth injection causes needle marks on your skin. Needle marks can also get infected.
Dry mouth can develop and make you chew, clench, or grind your teeth more than normal. This causes your teeth to wear down. Your teeth may turn dark or black. They may break, crumble, or fall apart. Heart weakness or damage can develop because meth increases blood pressure and heart rate. Skin problems may develop if you start picking at your skin or do not care for needle marks. Skin picking causes sores to grow, and the sores can get infected. Meth injection causes needle marks on your skin. Needle marks can also get infected. Dry mouth can develop and make you chew, clench, or grind your teeth more than normal. This causes your teeth to wear down. Your teeth may turn dark or black. They may break, crumble, or fall apart.",drugs-com,"signs and symptoms include at least 2 of the following in a 12-month period: you have a strong urge or craving for meth. this is also called addiction. you are not able to control when you use it or how much you use. you spend large amounts of time trying to get, use, or recover from meth. in between uses, you think about when you will get to use it again. you become tolerant to meth. this means the amount you have been using no longer has the effects you want. you need higher amounts to feel the effects. you become dependent on meth. dependence means your body becomes used to meth. you have withdrawal symptoms when you do not use meth for a short amount of time. you have to use it to stop or prevent withdrawal symptoms, such as shaky hands. you are not able to stop, or to use less. you start again when you try to quit. you try to use lower amounts or to use it less often, but you are not able. you continue to use meth even though it causes problems or is dangerous. for example, try to make the effect stronger by mixing it with alcohol or other drugs. you have problems at school, work, or home. you spend less time doing important or enjoyable activities. you may become violent or impulsive (acting without thinking about the risks). meth use can also lead to health problems, such as the following:
heart weakness or damage can develop because meth increases blood pressure and heart rate.
skin problems may develop if you start picking at your skin or do not care for needle marks. skin picking causes sores to grow, and the sores can get infected. meth injection causes needle marks on your skin. needle marks can also get infected.
dry mouth can develop and make you chew, clench, or grind your teeth more than normal. this causes your teeth to wear down. your teeth may turn dark or black. they may break, crumble, or fall apart. heart weakness or damage can develop because meth increases blood pressure and heart rate. skin problems may develop if you start picking at your skin or do not care for needle marks. skin picking causes sores to grow, and the sores can get infected. meth injection causes needle marks on your skin. needle marks can also get infected. dry mouth can develop and make you chew, clench, or grind your teeth more than normal. this causes your teeth to wear down. your teeth may turn dark or black. they may break, crumble, or fall apart.","sign symptom include 2 following 12-month period strong urge craving meth call addiction able control use use spend large amount time try use recover meth use think use tolerant meth mean long effect want need high amount feel effect dependent meth dependence mean body meth withdrawal symptom use meth short time use stop prevent withdrawal symptom shaky hand able stop use start try quit try use low amount use able continue use meth cause problem dangerous example try effect strong mix alcohol drug problem school work home spend time important enjoyable activity violent impulsive act think risk meth use lead health problem following 
 heart weakness damage develop meth increase blood pressure heart rate 
 skin problem develop start pick skin care needle mark skin picking cause sore grow sore infect meth injection cause needle mark skin needle mark infect 
 dry mouth develop chew clench grind tooth normal cause tooth wear tooth turn dark black break crumble fall apart heart weakness damage develop meth increase blood pressure heart rate skin problem develop start pick skin care needle mark skin picking cause sore grow sore infect meth injection cause needle mark skin needle mark infect dry mouth develop chew clench grind tooth normal cause tooth wear tooth turn dark black break crumble fall apart","['signs', 'symptoms', '12-month', 'period', 'urge', 'craving', 'meth', 'addiction', 'meth', 'tolerant', 'meth', 'amount', 'effects you', 'effects', 'dependent', 'meth', 'body', 'meth', 'withdrawal symptoms', 'meth', 'time', 'stop', 'prevent', 'withdrawal symptoms', 'hands', 'stop', 'quit', 'meth', 'problems', 'effect', 'alcohol', 'drugs', 'problems', 'school', 'work', 'home', 'important', 'enjoyable activities', 'violent', 'impulsive', 'thinking', 'risks', 'meth', 'health problems', 'heart weakness', 'damage', 'meth', 'increases', 'blood pressure', 'heart rate', 'skin problems', 'skin', 'not care', 'needle marks', 'skin picking', 'sores', 'grow', 'sores', 'infected', 'meth injection', 'needle marks', 'skin', 'needle marks', 'infected', 'dry mouth', 'chew', 'clench', 'grind', 'teeth', 'normal', 'teeth', 'wear down', 'teeth', 'dark', 'black', 'crumble', 'heart weakness', 'damage', 'meth', 'increases', 'blood pressure', 'heart rate', 'skin problems', 'skin', 'not care', 'needle marks', 'skin picking', 'sores', 'grow', 'sores', 'infected', 'meth injection', 'needle marks', 'skin', 'needle marks', 'infected', 'dry mouth', 'chew', 'clench', 'grind', 'teeth', 'normal', 'teeth', 'wear down', 'teeth', 'dark', 'black', 'crumble']"
microcephaly,"Your baby may have any of the following mild to severe symptoms: Seizures Problems with speech Problems with movement and balance when he or she sits up, stands, or walks Trouble swallowing Not being able to learn or function with daily activities Hearing loss and vision problems",drugs-com,"your baby may have any of the following mild to severe symptoms: seizures problems with speech problems with movement and balance when he or she sits up, stands, or walks trouble swallowing not being able to learn or function with daily activities hearing loss and vision problems",baby follow mild severe symptom seizure problem speech problem movement balance sit stand walk trouble swallow able learn function daily activity hear loss vision problem,"['baby', 'mild', 'severe', 'symptoms', 'seizures', 'problems', 'speech problems', 'movement', 'balance', 'walks trouble', 'swallowing', 'learn', 'function', 'daily activities', 'hearing loss', 'vision problems']"
microscopic colitis,"Diarrhea Abdominal pain Fatigue Nausea or vomiting Weight loss Loss of bowel movement control Dehydration (thirst, dry mouth, or decreased urine)",drugs-com,"diarrhea abdominal pain fatigue nausea or vomiting weight loss loss of bowel movement control dehydration (thirst, dry mouth, or decreased urine)",diarrhea abdominal pain fatigue nausea vomiting weight loss loss bowel movement control dehydration thirst dry mouth decrease urine,"['diarrhea', 'abdominal pain', 'fatigue nausea', 'vomiting weight loss loss', 'thirst', 'dry mouth', 'decreased', 'urine']"
migraine headache,"A migraine headache usually begins as a dull ache around the eye or temple. The pain may get worse with movement. You may also have the following: Pain in your head that may increase to the point that you cannot do everyday activities Pain on one or both sides of your head Throbbing, pulsing, or pounding pain in your head Nausea and vomiting Sensitivity to light, noise, or smells",drugs-com,"a migraine headache usually begins as a dull ache around the eye or temple. the pain may get worse with movement. you may also have the following: pain in your head that may increase to the point that you cannot do everyday activities pain on one or both sides of your head throbbing, pulsing, or pounding pain in your head nausea and vomiting sensitivity to light, noise, or smells",migraine headache usually begin dull ache eye temple pain bad movement following pain head increase point everyday activity pain side head throbbing pulsing pound pain head nausea vomiting sensitivity light noise smell,"['migraine headache', 'dull ache', 'eye', 'temple', 'pain', 'worse', 'movement', 'pain', 'head', 'increase', 'everyday', 'activities pain', 'head throbbing', 'pulsing', 'pounding pain', 'head nausea', 'vomiting sensitivity', 'light', 'noise', 'smells']"
migraine headache in children,"Pounding, pulsing, or throbbing pain on one or both sides of your child's head Nausea, vomiting, or abdominal pain Sensitivity to light or noise Noise or ringing in your child's ears Dizziness or confusion",drugs-com,"pounding, pulsing, or throbbing pain on one or both sides of your child's head nausea, vomiting, or abdominal pain sensitivity to light or noise noise or ringing in your child's ears dizziness or confusion",pound pulsing throb pain side child head nausea vomiting abdominal pain sensitivity light noise noise ring child ear dizziness confusion,"['pounding', 'pulsing', 'throbbing pain', ""child's"", 'head nausea', 'vomiting', 'abdominal pain', 'sensitivity', 'noise noise', 'ringing', ""child's"", 'ears dizziness', 'confusion']"
